progetto,descrizione,url
TerremotoCentroItalia,Un progetto per informare sui sismi del centro Italia,http://www.terremotocentroitalia.info
Politicamente Corretto,Un progetto per raccogliere le promesse dei politici italiani,https://www.unapromessa.it/
ItaliaAFuoco,Progetto per raccogliere segnalazioni sugli incendi in Italia,http://www.italiaafuoco.info
Pratosmart,Il mio primo weblab,http://iltempe.github.io/pratosmart
Emergenzeprato,Un progetto per informare sulle emergenze a Prato,http://iltempe.github.io/Emergenzeprato
Escilaricetta,Produrre Opendata con le ricette di cucina,http://escilaricetta.github.io/recipe-site/
OpenDataGenteDiPrato,Un portale di pubblicazione dati aperti per la mia città,http://iltempe.github.io/opendatagentediprato/
Open Data Toscana,Un gruppo Facebook per discutere di Open Data,https://www.facebook.com/groups/1472646209661135/
HackForItaly,Un gruppo di civic hacker italiani,https://www.facebook.com/groups/1695961784054698/
JMAP,Un generatore di mappe opensource,https://iltempe.github.io/jmap/
